Post Title,Link,Phone_Name,Brand_Name,Content,Date
['Asus ROG Phone 6 香港發表：規格世一定價進取'],https://www.dcfever.com/news/readnews.php?id=33513,Asus ROG Phone 6 Pro,asus,"文：Tony相信手機遊戲迷，都等了新一代Asus ROG Phone 6系列很久，今日 Asus 香港終於把兩機帶到香港，定價 HK$7,998起，有關兩者的詳細測試，都可以看看早前的報導。Tenba Skyline 13 單肩包，輕易攜帶，容量充足！Asus ROG Phone 6 系統主要分 ROG Phone 6 及ROG Phone 6 Pro兩款，機身主要分別在 ROG Phone 6 的背面，只加入 ROG 標誌的閃燈 LED 板；ROG Phone 6 Pro則配置第二代 ROG Vision 屏幕，設有多達 60 種顯示效果。機身均會保留 AirTriggers 超音波觸控鍵，將設有 9 種不同的操作方式，還會加入 10 種 Motion Control 體感操作功能，方便進行不同遊戲時操作。Asus ROG Phone 6系統均會配備 Qualcomm 最新旗艦 SoC Snapdragon 8+ Gen 1，並把手機的內部重新設計，將 SoC 放在手機的中間，應用 3000 mAh + 3000 mAh 雙電池設計 (合共
  6000mAh)，把兩者發出的熱力，平均地分散在：石墨烯與 vapor chamber 均熱板。配合新推出的 Aeroactivecooler 6 散熱風扇，可為 ROG Phone 6 長期將溫度控制，達到長時間遊戲而不降頻。有關兩機的規格，可從列表了解。ROG Phone 6ROG Phone 6 Pro屏幕6.78 吋2400 X 1080144HzAMOLED6.78 吋2400 X 1080144HzAMOLEDSoCSnapdragon 8+ Gen 1Snapdragon 8+ Gen 1RAM12GB16GB18GBROM256GB/512GB512GB前相機1200 萬像素1200 萬像素主相機5000 萬像素 f/1.9 廣角1200 萬像素 f/2.2 光圈超廣角500 萬像素 f/2.0 光圈微距5000 萬像素 f/1.9 廣角1200 萬像素 f/2.2 光圈超廣角500 萬像素 f/2.0 光圈微距電量6000 mAh6000 mAh定價HK$HK$Asus ROG Phone 6及ROG Phone 6 Pro定價分別為 HK$7,998 及 HK$8,998 起，ROG
  Phone 6 會於 7 月 21 日 推出，Asus ROG Phone 6 Pro 就會在 7 月 21 日接受預購，於 8 月 7 日起推出。Aeroactivecooler 6 散熱風扇則為 HK$699，當中ROG Phone 6 Pro只有
  18GB/512GB 版本，規格世一定價進取。Asus ROG Phone 6及ROG Phone 6 Pro會於 7 月 21 日至 8 月 2
  日推出首購優惠，選購兩機即送 Aeroactivecooler 6 散熱風扇及 Devilcase 保護殼及玻璃保護貼。而故有 ROG Phone 用戶，會額外送 Kunai Gamepad 3 及專用保護殼。Asus ROG Phone 6 定價：12GB/256GB HK$7,99816GB/512GB HK$8,998Asus ROG Phone 6 Pro 定價：HK$10,298",2022/07/20
['Asus ROG Phone 6 發表：五大方向全面升級'],https://www.dcfever.com/news/readnews.php?id=33383,Asus ROG Phone 6 Pro,asus,"文：TonyAsus ROG Phone 一直都被譽為最強的遊戲手機，今代的 ROG Phone 6，將會從屏幕、效能、散熱、操作與系統作全面升級，令玩家更能投入在遊戲世界。設 ROG Phone 6 與 ROG Phone 6 Pro 兩個型號Asus ROG Phone 6 系列，分別設 ROG Phone 6 及 ROG Phone 6 Pro 兩個型號，兩機都會支援 IPX4 防水規格，在遊戲類手機首次加入生活防水功能。兩機主要的分別，主要是 ROG Phone 6 機背設一般 LCD 屏幕，只有簡單的 ROG 標誌閃爍效果，但就設有黑色及白色選擇。而 ROG Phone 6 Pro 背面則加入第二代 ROG Vision
  屏幕，設有多達 60 種顯示效果。機身還設有 12 X 16mm 對稱式立體聲揚聲器與 3.5mm 耳機插頭，播放音質屬 ROG Phone 之最。日本製手錶品牌 TACS，雙鏡頭相機設計！錶匠親手裝嵌！！6.78” 全面 165Hz 屏幕整個 Asus ROG Phone 6 系列手機，都會應用 6.78”  FHD+ 解像度全面屏幕，屏幕沒有任何開孔或劉海等遮擋，完整地看到遊戲畫面的資訊。該屏幕還支援 165Hz 更新率；HDR10+ 對應 Alway On HDR 技術；111% DCI-P3 色域，色準更達到 Delta-E <1；觸控採樣率為 720Hz，令觸控時延可以低至
  23ms，都是當今手機屏幕最高的標準。應用 Snapdragon 8+ Gen 1 SoCAsus ROG Phone 6 系列要到第二季才發表，都是為了等待今年 Qualcomm 最強的 Snapdragon 8+ Gen 1 SoC，Antutu 跑分達到 1,126,983 分，屬當今最高跑分成績。兩機之中最高配備 18GB RAM 及 512GB 儲存空間，效能足夠暢玩所有手機遊戲。內部重新設計達至最佳散熱效果為了讓遊戲時可持續高效能，令遊戲不會卡頓，散熱是遊戲手機的一大重點。Asus ROG Phone 6 系列把手機的內部重新設計，將 SoC 放在手機的中間，應用 3000 mAh + 3000 mAh 雙電池設計 (合共 6000mAh)，把兩者發出的熱力，都可以均衡地分散在石墨烯與 vapor chamber
  均熱板，可應付如 15-30 分鐘的遊戲時間。如要長期作戰，就可以用新推出的 Aeroactivecooler 6 散熱風扇，這個首次無線連接的散熱風扇，背面帶四個實體按鍵，設有三個不同等級的散熱模式，最高的散熱模式玩《原神》 60fps 模式一小時，機背溫度只有 44.2 度，可見散熱效果相當出色。拍攝應用 IMX766 感光元件Asus ROG Phone 6 系列拍攝方面採用廣角、超廣角及微距鏡配置，廣角鏡配備 IMX766 1/1.56"" 感光元件，在手機中亦算大感光元件，拍攝質素預計亦有一定睇頭。加入體感操作功能Asus ROG Phone 6 系列都會保留 AirTriggers 超音波觸控鍵，將設有 9 種不同的操作方式，還會加入 10 種 Motion Control 體感操作功能，方便進行不同遊戲時操作。重練兩大遊戲系統Asus ROG Phone 6 系列將會重練兩大遊戲系統，包括 Game Genie 及 Armoury Crate 方便用家管理各遊戲或進行遊戲設定。連接 Aerocooler 6 散熱風扇時，還可啟動 X Mode+ 模式，將手機效能推到頂峰。Asus ROG Phone 6 設 12GB/256GB 及 16GB/512GB 版本，定價分別為 999 歐元及 1149 歐元，折合約為 HK$8,068 及 HK$9,281。至於 Asus ROG Phone 6 Pro 只有 18GB/512GB 版本，定價為 1299 歐元，折合約為  HK$10,486。香港方面會於 7 月 20
  日舉行產品發佈會，屆時就有港版的定價與推出日期。",2022/07/05
